"path","category","current_role","proposed_role","action","notes"
"outputs/milestones/MB_vgeom_h1000_smoke_legacy_debug3","output","mb_output_root","smoke","index-only","Smoke, audit, or validation root; keep for debug provenance but do not promote as formal canonical output."
"outputs/milestones/STAGE_plot_runtime_smoke_20260323_final_repair_round_stage","output","mb_output_root","smoke","index-only","Smoke, audit, or validation root; keep for debug provenance but do not promote as formal canonical output."
"run_stages/package_mb_closure_delivery.m","runner","legacy_mb_runner_or_packager","delivery","wrap","MB-specific runner outside core Stage files; can be annotated as frozen but must not change Stage runner logic."
"run_stages/package_mb_final_repair_round_delivery.m","runner","legacy_mb_runner_or_packager","delivery","wrap","MB-specific runner outside core Stage files; can be annotated as frozen but must not change Stage runner logic."
"run_stages/package_mb_final_round_delivery.m","runner","legacy_mb_runner_or_packager","delivery","wrap","MB-specific runner outside core Stage files; can be annotated as frozen but must not change Stage runner logic."
"run_stages/package_mb_full_rebuild_delivery.m","runner","legacy_mb_runner_or_packager","delivery","wrap","MB-specific runner outside core Stage files; can be annotated as frozen but must not change Stage runner logic."
"run_milestones/run_all_milestones.m","runner","legacy_mb_milestone_runner","legacy","wrap","Existing milestone runner stays for reproduction only; add legacy wrapper instead of extending behavior."
"run_milestones/run_milestone_B_inverse_slices.m","runner","legacy_mb_milestone_runner","legacy","wrap","Existing milestone runner stays for reproduction only; add legacy wrapper instead of extending behavior."
"run_stages/build_mb_history_cleanup_inventory.m","runner","legacy_mb_runner_or_packager","legacy","wrap","MB-specific runner outside core Stage files; can be annotated as frozen but must not change Stage runner logic."
"run_stages/run_mb_baseline_h1000_expansion_study.m","runner","legacy_mb_runner_or_packager","legacy","wrap","MB-specific runner outside core Stage files; can be annotated as frozen but must not change Stage runner logic."
"run_stages/run_mb_closure_suite.m","runner","legacy_mb_runner_or_packager","legacy","wrap","MB-specific runner outside core Stage files; can be annotated as frozen but must not change Stage runner logic."
"run_stages/run_mb_final_repair_fullnight.m","runner","legacy_mb_runner_or_packager","legacy","wrap","MB-specific runner outside core Stage files; can be annotated as frozen but must not change Stage runner logic."
"run_stages/run_mb_final_round_closure.m","runner","legacy_mb_runner_or_packager","legacy","wrap","MB-specific runner outside core Stage files; can be annotated as frozen but must not change Stage runner logic."
"run_stages/run_mb_full_rebuild_and_plot_closure.m","runner","legacy_mb_runner_or_packager","legacy","wrap","MB-specific runner outside core Stage files; can be annotated as frozen but must not change Stage runner logic."
"run_stages/run_mb_parallel_consistency_checks.m","runner","legacy_mb_runner_or_packager","legacy","wrap","MB-specific runner outside core Stage files; can be annotated as frozen but must not change Stage runner logic."
"run_stages/run_mb_performance_quality_validation.m","runner","legacy_mb_runner_or_packager","legacy","wrap","MB-specific runner outside core Stage files; can be annotated as frozen but must not change Stage runner logic."
"run_stages/run_mb_vgeom_h1000.m","runner","legacy_mb_runner_or_packager","legacy","wrap","MB-specific runner outside core Stage files; can be annotated as frozen but must not change Stage runner logic."
"run_stages/run_milestone_B_semantic_compare.m","runner","legacy_mb_runner_or_packager","legacy","wrap","MB-specific runner outside core Stage files; can be annotated as frozen but must not change Stage runner logic."
"run_stages/run_mb_plot_mode_switch_smoke.m","runner","legacy_mb_runner_or_packager","smoke","wrap","MB-specific runner outside core Stage files; can be annotated as frozen but must not change Stage runner logic."
